,Element Name,Element Type,Database,PosReg Name,PosReg Type,PosReg ID,,NegReg Name,NegReg Type,NegReg ID,,Connection Type,Negative Reg DB,Mechanism,Paper ID,Evidence,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
203,akt,family,akt, , , , ,resveratrol,simple-chemical,445154, ,i,"['pubchem', 'pubchem', 'pubchem', 'pubchem', 'pubchem', 'pubchem', 'pubchem']","['inhibition', 'inhibition', 'inhibition', 'inhibition', 'inhibition', 'inhibition', 'inhibition']","['pmc4072751', 'pmc4072751', 'pmc4072751', 'pmc4072751', 'pmc3181262', 'pmc3181262', 'pmc3181262']","['the inhibition of akt by resveratrol was attenuated in nqo2 expressing relative to nqo2-knockdown cells.', 'epidemiologic studies demonstrate an association between consumption of diet rich in fruits and vegetables with reduced risk of developing many cancer types; furthermore, dietary grape polyphenol resveratrol has been shown to inhibit akt activity xref_bibr â€“ xref_bibr.', 'resveratrol has been reported to inhibit akt activity; however, little is known about the underlying mechanism.', 'conceivably, however, resveratrol could deactivate akt at high concentration via direct binding and therefore offer the potential for adjunctive therapy in individuals known to harbor akt inhibitor resistant cells.', 'furthermore, resveratrol, which simultaneously inhibits the activation of pi3k / akt and mek / erk pathways (resulting in activation of foxo), could be an attractive candidate for the management of pancreatic cancer.', 'resveratrol inhibited akt kinase activity in a dose dependent manner.', 'these data suggest that resveratrol inhibits cell proliferation by regulating pi3k / akt pathway.']",7,100,40,1,740
211,akt,family,akt,atra,simple-chemical,44795, , , , , ,i,"[' ', ' ', ' ', ' ', ' ', ' ']","['activation', 'activation', 'activation', 'activation', 'activation', 'activation']","['pmc3665688', 'pmc3665688', 'pmc3665688', 'pmc3665688', 'pmc3665688', 'pmc3665688']","['immunoprecipitation assays showed that atra promotes akt activation mediated by rar Î±-akt interaction.', 'recent studies have demonstrated that atra induces rapid, transcription independent activation of the pi3k / akt pathway in neuroblastoma cells [xref_bibr].', 'however, the molecular mechanisms by which atra promotes activation of the pi3k / akt pathway are still unknown.', 'atra promotes activation of the pi3k / akt pathway by inducing the association of rar Î± with akt via transcription independent mechanisms.', 'since atra promotes akt activation, we decided to test whether akt interacts with components of atra signaling.', 'figure xref_fig b shows that over-expression of appl1 blocks the interaction between rar Î± with akt, and inhibits atra mediated akt activation.']",6,100,40,1,640
177,akt,family,akt, , , , ,atorvastatin,simple-chemical,60823, ,i,"['pubchem', 'pubchem', 'pubchem', 'pubchem', 'pubchem', 'pubchem']","['inhibition', 'inhibition', 'inhibition', 'complex', 'inhibition', 'complex']","['pmc3789171', 'pmc3789171', 'pmc3789171', 'pmc3789171', 'pmc3789171', 'pmc3789171']","['atorvastatin (1 Î¼ m) plus gefitinib treatment inhibited proliferation, promoted cell apoptosis, and reduced the akt activity in kras mutant nsclc cells compared with gefitinib alone.', 'atorvastatin and gefitinib synergistically inhibit the pi3k / akt and mek / erk pathways.', 'we further observed whether atorvastatin alone or combined with gefitinib inhibited the activation of akt and erk.', 'therefore, the above results together suggest that inhibition of the pi3k / akt and mek / erk pathways by atorvastatin in kras mutant nsclc cells correlates with disruption of the kras / raf and kras / pi3k complexes irrespective of the pik3ca and pten statuses.', '20 in the present study, however, we find that atorvastatin induced inhibition of erk and akt activities may be, at least partly, derived from its disruption of the interaction of kras with raf and pi3k in nsclc cells including kras independent a549 cells.', 'besides, atorvastatin administration efficiently suppresses erk and akt activation, mainly due to disruption of kras / raf and kras / pi3k complexes in nsclc cells.']",6,100,40,1,640
242,akt,family,akt,p110,family,pi3k_p110, , , , , ,i,"[' ', ' ', ' ', ' ', ' ', ' ']","['activation', 'activation', 'activation', 'activation', 'activation', 'activation']","['pmc2652403', 'pmc2652403', 'pmc2652403', 'pmc2652403', 'pmc2652403', 'pmc2652403']","['the p110 Î´ isoform constitutively activated the akt signaling pathway, but p110 Î³ activated akt only in the presence of serum [xref_bibr].', 'the p110 Î´ isoform constitutively activated the akt signaling pathway, but p110 Î³ activated akt only in the presence of serum [xref_bibr].', 'the p110 Î´ isoform constitutively activated the akt signaling pathway, but p110 Î³ activated akt only in the presence of serum [xref_bibr].', 'the p110 Î´ isoform constitutively activated the akt signaling pathway, but p110 Î³ activated akt only in the presence of serum [xref_bibr].', 'the p110 Î´ isoform constitutively activated the akt signaling pathway, but p110 Î³ activated akt only in the presence of serum [xref_bibr].', 'the p110 Î´ isoform constitutively activated the akt signaling pathway, but p110 Î³ activated akt only in the presence of serum [xref_bibr].']",6,100,40,1,640
204,akt,family,akt, , , , ,selenite,simple-chemical,1090, ,i,"['pubchem', 'pubchem', 'pubchem', 'pubchem', 'pubchem', 'pubchem']","['inhibition', 'inhibition', 'inhibition', 'inhibition', 'inhibition', 'inhibition']","['pmc3734838', 'pmc3734838', 'pmc3734838', 'pmc3734838', 'pmc3734838', 'pmc3734838']","['first, we found that selenite treatment in hct116 and sw480 crc cells caused inhibition of akt and the nuclear accumulation of foxo3a by western blot and immunofluorescence analyses, respectively, thereby facilitating transcription of the target genes bim and pten.', 'additionally, in vitro pi3k and akt assays (xref_fig; xref_supplementary) showed that selenite treatment inhibited akt and pi3k activation in hct116 and sw480 crc cells.', 'we therefore postulated that foxo family proteins may be regulated by selenite inhibited akt.', 'to test this hypothesis, we immunoblotted foxo family proteins in selenite treated samples and found that selenite consistently suppressed the phosphorylation of these proteins (xref_fig), indicating that foxo proteins may be activated when akt is inhibited by selenite.', 'first, we found that selenite inhibited akt and its canonical upstream regulator pi3k and pdk1.', 'furthermore, inhibition of akt by selenite was shown to be directly related to the reduced phosphorylation of foxo3a (xref_fig), which resulted in foxo3a accumulation in the nucleus.']",6,100,40,1,640
4996,ras,family,pf00071, , , , ,pten,protein,p60484, ,i,"['uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot']","['activation', 'inhibition', 'inhibition', 'inhibition', 'inhibition', 'inhibition']","['pmc2133067', 'pmc2133067', 'pmc2133067', 'pmc2133067', 'pmc2133067', 'pmc2133067']","['the phosphatase domain of pten was essential for all of these functions, because pten with an inactive phosphatase domain did not suppress map kinase or ras activity.', 'we have therefore searched for effects of pten on activities or phosphorylation levels of several components of the ras / erk signal transduction pathway, and have found that reconstitution of expression of pten in a cell line devoid of this protein due to mutation markedly inhibited ras / erk pathway activation in response to stimulation by fibronectin or growth factors.', 'we conclude that pten inhibits ras activity, and then the ras / erk common map kinase pathway for integrin- and growth factor â€“ mediated signaling, and finally alters cell behavior.', 'we conclude that pten inhibits ras activity, and then the ras / erk common map kinase pathway for integrin- and growth factor â€“ mediated signaling, and finally alters cell behavior.', 'pten inhibition of ras activation.', 'therefore, we speculated that the ability of pten inhibit both integrin- and growth factor â€“ mediated map kinase signaling pathways might be due to pten inhibiting ras activation.']",6,100,40,1,640
2094,e2f1,protein,q01094, , , , ,kdm2a,protein,q9y2k7, ,i,"['uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot']","['inhibition', 'inhibition', 'inhibition', 'activation', 'activation', 'inhibition']","['pmc4100745', 'pmc4100745', 'pmc4100745', 'pmc4100745', 'pmc4100745', 'pmc4100745']","['kdm2a could suppress e2f1 mediated induction of these promoters in transient transfection experiments.', 'this demonstrates that kdm2a can suppress e2f1 mediated gene activation in transient transfection experiments.', 'as previously observed, e2f1 occupied the promoters of mmp9, mmp14 and mmp15; interestingly, we find that kdm2a is also associated with these promoters (xref_fig), raising the possibility that kdm2a might repress mmp promoters by suppressing e2f1 activity.', 'interestingly, co-transfection of kdm2a along with e2f1 considerably repressed the e2f1 mediated induction of the four mmp promoters in a dose dependent manner.', 'it was found that co-transfection of e2f1 alone led to a significant induction of both kdr and flt-1 promoters (xref_fig); co-transfection of kdm2a along with e2f1 considerably repressed the e2f1 mediated induction of kdr and flt-1.', 'kdm2a could be negatively regulating mmp function by repressing e2f1 to maintain normal cell function and integrity.']",6,100,40,1,640
4285,p53,protein,p04637, , , , ,mdm2,protein,q00987, ,i,"['uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot']","['inhibition', 'inhibition', 'inhibition', 'inhibition', 'inhibition', 'inhibition']","['pmc3566025', 'pmc3566025', 'pmc3566025', 'pmc4150789', 'pmc4402595', 'pmc4402595']","['p53 degradation is largely mediated by mdm2 (mouse double minute, also known as hdm2 in humans), a ring domain containing e3 ubiquitin ligase xref_bibr, xref_bibr, xref_bibr.', 'the inhibition of mdm2 under stress conditions enables p53 to stabilize.', 'the accumulation of p53 requires the inactivation of the principal p53 antagonist mdm2; however, the underlying mechanism for mdm2 inactivation is not well understood.', 'in contrast, meg3, a tumor suppressor lncrna, regulates the transcriptional activation of p53 by reducing the levels of mdm2 (mouse double minute 2 homolog) (xref_bibr), which mediates p53 degradation.', 'mdm2 inhibits tp53 in the p53 signaling pathway.', 'atm activates chk1/2; chk1/2 activates tp53; mdm2 inhibits rb1 and tp53 in the p53 signaling pathway.']",6,100,40,1,640
4291,p53,protein,p04637, , , , ,slc12a5,protein,q9h2x9, ,i,"['uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot']","['inhibition', 'inhibition', 'inhibition', 'inhibition', 'inhibition', 'activation']","['pmc4819609', 'pmc4819609', 'pmc4819609', 'pmc4819609', 'pmc4819609', 'pmc4819609']","['slc12a5 inhibits p53 and p21 reporter activity.', 'ectopic expression of slc12a5 significantly suppressed p53 and p21 luciferase reporter activities in hct116 (xref_fig a), whereas no significant activity changes were observed in ap-1, nf Îº b and wnt/Î²-catenin pathway reporters (xref_fig a).', 'knockdown slc12a5 significantly enhanced p53 and p21 reporter activities (xref_fig b).', 'western blot results further validated that ectopic expression of slc12a5 reduced the protein level of p53 and p21, while knockdown of slc12a5 upregulated p53 and p21 in hct116 cells (xref_fig c).', 'moreover, slc12a5 inhibited p53 and p21 luciferase reporter activities in hct116, which is p53 wild type.', 'xref_bibr on the other hand, slc12a5 also exhibited tumour promoting effect and suppressed p21 reporter activity in p53 ko and mutated crc cells, indicating that slc12a5 promotes tumourigenesis by inhibiting p21 reporter activity regardless of p53 status.']",6,100,40,1,640
144,akt, , , , , , ,ly294002,simple-chemical,3973, ,i,"['pubchem', 'pubchem', 'pubchem', 'pubchem', 'pubchem', 'pubchem']","['dephosphorylation', 'dephosphorylation', 'dephosphorylation', 'dephosphorylation', 'dephosphorylation', 'dephosphorylation']","['pmc2652403', 'pmc2652403', 'pmc2652403', 'pmc2652403', 'pmc2652403', 'pmc2652403']","['purified plasmocytes from patients with myeloma or leukemia displayed constitutive phosphorylation of akt, fkhrl-1 and p70 (s6k), which was inhibited by ly294002 and enhanced by igf-i [xref_bibr].', 'the rapamycin induced phosphorylation of akt and eif4e was suppressed by ly294002, suggesting the requirement of pi3k in this process [xref_bibr].', 'purified plasmocytes from patients with myeloma or leukemia displayed constitutive phosphorylation of akt, fkhrl-1 and p70 (s6k), which was inhibited by ly294002 and enhanced by igf-i [xref_bibr].', 'the rapamycin induced phosphorylation of akt and eif4e was suppressed by ly294002, suggesting the requirement of pi3k in this process [xref_bibr].', 'purified plasmocytes from patients with myeloma or leukemia displayed constitutive phosphorylation of akt, fkhrl-1 and p70 (s6k), which was inhibited by ly294002 and enhanced by igf-i [xref_bibr].', 'the rapamycin induced phosphorylation of akt and eif4e was suppressed by ly294002, suggesting the requirement of pi3k in this process [xref_bibr].']",6,100,40,1,640
2307,erk,family,erk,insulin,protein,p01308, , , , , ,i,"[' ', ' ', ' ', ' ', ' ', ' ']","['activation', 'activation', 'activation', 'activation', 'activation', 'activation']","['pmc2683723', 'pmc2683723', 'pmc2683723', 'pmc2683723', 'pmc2683723', 'pmc2683723']","['in hek293 cells, insulin is a poor activator of the ras / erk (extracellular signal regulated kinase) cascade, yet it enhances erk activation by low egf doses.', 'we show that, although in hek293 cells insulin by itself is a poor activator of erk, it greatly enhances mapk pathway activation by physiological egf concentrations.', 'both the experimental data and simulations showed that the activation of the ras / erk and pi3k / akt pathways by persistent egf or insulin stimulation was transient (xref_fig and xref_supplementary).', 'pi3k inhibition suppresses insulin â€“ egf synergy in ras / erk responses.', 'the data presented in xref_fig (middle panel) validate the model prediction and also show that insulin is unable to enhance mek and erk when pi3k is inhibited (xref_fig, all panels).', 'the simulated erk dynamics in cells with different gab1 expression (xref_fig) suggest that insulin significantly increases robustness of erk activation to gab1 downregulation.']",6,100,40,1,640
4625,pi3k,protein,pi3k,insulin,protein,p01308, , , , , ,i,"[' ', ' ', ' ', ' ', ' ']","['activation', 'activation', 'activation', 'activation', 'activation']","['pmc2652403', 'pmc2652403', 'pmc3842210', 'pmc2683723', 'pmc2652403']","['it was demonstrated that over-expression of pten reduced insulin induced pip 3 production in human cells without effecting insulin induced pi3k [xref_bibr].', 'it was demonstrated that over-expression of pten reduced insulin induced pip 3 production in human cells without effecting insulin induced pi3k [xref_bibr].', 'this indicates that insulin dominantly activates akt2 following activation of pi3k and the downstream effector pdk1 in adipocytes, responsible for glut4 translocation.', 'both the experimental data and simulations showed that the activation of the ras / erk and pi3k / akt pathways by persistent egf or insulin stimulation was transient (xref_fig and xref_supplementary).', 'it was demonstrated that over-expression of pten reduced insulin induced pip 3 production in human cells without effecting insulin induced pi3k [xref_bibr].']",5,100,40,1,540
4200,p21,protein,p38936, , , , ,slc12a5,protein,q9h2x9, ,i,"['uniprot', 'uniprot', 'uniprot', 'uniprot', 'uniprot']","['inhibition', 'inhibition', 'inhibition', 'inhibition', 'activation']","['pmc4819609', 'pmc4819609', 'pmc4819609', 'pmc4819609', 'pmc4819609']","['slc12a5 inhibits p53 and p21 reporter activity.', 'knockdown slc12a5 significantly enhanced p53 and p21 reporter activities (xref_fig b).', 'western blot results further validated that ectopic expression of slc12a5 reduced the protein level of p53 and p21, while knockdown of slc12a5 upregulated p53 and p21 in hct116 cells (xref_fig c).', 'these data indicated that slc12a5 suppressed p21 activity irrespective of p53 status.', 'xref_bibr on the other hand, slc12a5 also exhibited tumour promoting effect and suppressed p21 reporter activity in p53 ko and mutated crc cells, indicating that slc12a5 promotes tumourigenesis by inhibiting p21 reporter activity regardless of p53 status.']",5,100,40,1,540
2312,erk,family,erk,pmek,protein,uaz07614, , , , , ,i,"[' ', ' ', ' ', ' ', ' ']","['activation', 'activation', 'activation', 'activation', 'activation']","['pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385', 'pmc3440385']","['these data suggest that en activation of egfr results in the activation of pmek in the perinuclear region where pmek activates erk, with activated erk then quickly translocating to the nucleus.', 'these data suggest that en activation of egfr results in the activation of pmek in the perinuclear region where pmek activates erk, with activated erk then quickly translocating to the nucleus.', 'on the other hand, pm activation of egfr results in the activation of pmek near the pm where pmek activate erk.', 'on the other hand, pm activation of egfr results in the activation of pmek near the pm where pmek activate erk.', 'the pmek continue to activate erk while diffusing to the perinuclear region.']",5,100,40,1,540
4288,p53,protein,p04637, , , , ,pike-a,protein,uaz09795, ,i,"['uaz', 'uaz', 'uaz', 'uaz', 'uaz']","['inhibition', 'inhibition', 'inhibition', 'inhibition', 'inhibition']","['pmc3103409', 'pmc3103409', 'pmc3103409', 'pmc3103409', 'pmc3103409']","['therefore our data support that pike-a down-regulates p53 and leads to a reduction of unc5b expression.', ""as expected, knocking down akt in pike-a â€“ transfected cells considerably increased the p53 level and blunted pike-a 's inhibitory action on unc5b protein level (xref_fig, lane 4), suggesting that pike-a inactivates p53 or unc5b through activating akt."", 'without uv stimulation, we found that p53 and unc5b proteins were reduced by pike-a in a dose dependent manner.', 'the extent of p53 reduction by pike-a overexpression was evidently reduced when akt was depleted.', 'cotransfection of pike-a greatly diminished the p53 protein level and p53 mediated transcriptional activity (xref_fig), which supports that pike-a blocks p53 transcriptional activity through decreasing its protein levels.']",5,100,40,1,540
